,accuracy,precision,recall,f1,roc_auc,pr_auc
BiLSTM_val,0.9999549305931134,0.9999098693105002,1.0,0.9999549326242733,0.9999770956087951,0.9999541931646857
BiLSTM_test,0.9998422712933754,0.9997296688443343,0.9999549346552501,0.9998422890616199,0.99995402989585,0.9999082865476618
CNNAttn_val,0.987200288444204,0.9877718617453298,0.9866143861546782,0.9871927846674182,0.997900760546038,0.9976135382471006
CNNAttn_test,0.9873366381252816,0.9869854994145726,0.9876971608832807,0.987341201910082,0.9981497863204035,0.9980272209828664
