,model,val_accuracy,val_f1,val_roc_auc,test_accuracy,test_f1,test_roc_auc,train_time_s
0,BiLSTM,0.9999549305931134,0.9999549326242733,0.9999770956087951,0.9998422712933754,0.9998422890616199,0.99995402989585,2468.8885803222656
1,CNN+Attention,0.987200288444204,0.9871927846674182,0.997900760546038,0.9873366381252816,0.987341201910082,0.9981497863204035,679.4421722888947
